,speedy_rising_volume_list
0,241520
1,289080
2,032980
3,122350
4,032680
5,030960
6,265560
7,041590
8,219750
9,018120
10,051360
11,136480
12,003380
13,092780
14,026890
15,006110
16,138250
17,011330
18,000225
19,007660
20,071090
