,종목 코드,상승 확률,하락 확률,변동 없는 확률,상승 확률 높은 순위
246,016710,0.6290322580645161,0.3024193548387097,0.06854838709677419,1.0
1429,003100,0.625,0.31451612903225806,0.06048387096774194,2.0
2152,365270,0.6111111111111112,0.3888888888888889,0.0,3.0
108,178920,0.5846774193548387,0.3870967741935484,0.028225806451612902,4.0
33,383220,0.5806451612903226,0.3870967741935484,0.03225806451612903,5.0
683,323410,0.5714285714285714,0.42857142857142855,0.0,6.0
1523,217330,0.5604838709677419,0.3709677419354839,0.06854838709677419,7.0
352,138040,0.5564516129032258,0.3588709677419355,0.0846774193548387,8.0
1150,213420,0.5524193548387096,0.42338709677419356,0.024193548387096774,9.0
1000,051390,0.5483870967741935,0.39919354838709675,0.05241935483870968,10.5
658,018470,0.5483870967741935,0.4112903225806452,0.04032258064516129,10.5
0,095570,0.5443548387096774,0.4274193548387097,0.028225806451612902,13.0
1394,017480,0.5443548387096774,0.4274193548387097,0.028225806451612902,13.0
45,011200,0.5443548387096774,0.41935483870967744,0.036290322580645164,13.0
695,005070,0.5403225806451613,0.4274193548387097,0.03225806451612903,15.5
403,006660,0.5403225806451613,0.3870967741935484,0.07258064516129033,15.5
1206,043360,0.5362903225806451,0.41935483870967744,0.04435483870967742,18.5
1910,272290,0.5362903225806451,0.4435483870967742,0.020161290322580645,18.5
898,298020,0.5362903225806451,0.43548387096774194,0.028225806451612902,18.5
1872,206650,0.5362903225806451,0.45161290322580644,0.012096774193548387,18.5
133,361610,0.5362318840579711,0.43478260869565216,0.028985507246376812,21.0
277,016090,0.532258064516129,0.43548387096774194,0.03225806451612903,27.5
48,175330,0.532258064516129,0.4032258064516129,0.06451612903225806,27.5
1980,049550,0.532258064516129,0.43548387096774194,0.03225806451612903,27.5
2255,093380,0.532258064516129,0.4637096774193548,0.004032258064516129,27.5
2128,183300,0.532258064516129,0.43548387096774194,0.03225806451612903,27.5
401,006400,0.532258064516129,0.4274193548387097,0.04032258064516129,27.5
72,030210,0.532258064516129,0.4435483870967742,0.024193548387096774,27.5
1015,049720,0.532258064516129,0.40725806451612906,0.06048387096774194,27.5
1306,213090,0.532258064516129,0.42338709677419356,0.04435483870967742,27.5
1024,026910,0.532258064516129,0.41935483870967744,0.04838709677419355,27.5
1152,077360,0.532258064516129,0.4475806451612903,0.020161290322580645,27.5
1370,143240,0.532258064516129,0.4032258064516129,0.06451612903225806,27.5
2344,046110,0.5282258064516129,0.43548387096774194,0.036290322580645164,36.5
2174,023160,0.5282258064516129,0.4274193548387097,0.04435483870967742,36.5
1254,219420,0.5282258064516129,0.4435483870967742,0.028225806451612902,36.5
1443,011560,0.5282258064516129,0.41935483870967744,0.05241935483870968,36.5
1288,080160,0.5282258064516129,0.45161290322580644,0.020161290322580645,36.5
333,007340,0.5282258064516129,0.3911290322580645,0.08064516129032258,36.5
419,029780,0.5241935483870968,0.4475806451612903,0.028225806451612902,49.0
214,002355,0.5241935483870968,0.38306451612903225,0.09274193548387097,49.0
2126,036690,0.5241935483870968,0.43951612903225806,0.036290322580645164,49.0
170,012200,0.5241935483870968,0.4435483870967742,0.03225806451612903,49.0
1025,090150,0.5241935483870968,0.41935483870967744,0.056451612903225805,49.0
145,003570,0.5241935483870968,0.4274193548387097,0.04838709677419355,49.0
803,069640,0.5241935483870968,0.4274193548387097,0.04838709677419355,49.0
1003,078890,0.5241935483870968,0.42338709677419356,0.05241935483870968,49.0
915,035760,0.5241935483870968,0.45564516129032256,0.020161290322580645,49.0
2317,025550,0.5241935483870968,0.43548387096774194,0.04032258064516129,49.0
1702,247540,0.5241935483870968,0.46774193548387094,0.008064516129032258,49.0
784,161390,0.5241935483870968,0.45161290322580644,0.024193548387096774,49.0
32,017940,0.5241935483870968,0.43548387096774194,0.04032258064516129,49.0
1517,187270,0.5241935483870968,0.43548387096774194,0.04032258064516129,49.0
686,001620,0.5241935483870968,0.42338709677419356,0.05241935483870968,49.0
965,104200,0.5241935483870968,0.45564516129032256,0.020161290322580645,49.0
329,003160,0.5241935483870968,0.4435483870967742,0.03225806451612903,49.0
1640,031330,0.5241935483870968,0.43548387096774194,0.04032258064516129,49.0
286,001230,0.5241935483870968,0.43951612903225806,0.036290322580645164,49.0
756,352820,0.5238095238095238,0.45714285714285713,0.01904761904761905,59.0
1979,094820,0.5201612903225806,0.4112903225806452,0.06854838709677419,70.0
820,002220,0.5201612903225806,0.43548387096774194,0.04435483870967742,70.0
199,000270,0.5201612903225806,0.4596774193548387,0.020161290322580645,70.0
231,006370,0.5201612903225806,0.4314516129032258,0.04838709677419355,70.0
354,000060,0.5201612903225806,0.3951612903225806,0.0846774193548387,70.0
962,108320,0.5201612903225806,0.45564516129032256,0.024193548387096774,70.0
372,268280,0.5201612903225806,0.36693548387096775,0.11290322580645161,70.0
1857,299900,0.5201612903225806,0.43548387096774194,0.04435483870967742,70.0
637,020150,0.5201612903225806,0.4475806451612903,0.03225806451612903,70.0
249,003545,0.5201612903225806,0.38306451612903225,0.0967741935483871,70.0
1583,059100,0.5201612903225806,0.4314516129032258,0.04838709677419355,70.0
1901,067920,0.5201612903225806,0.4314516129032258,0.04838709677419355,70.0
848,000720,0.5201612903225806,0.4637096774193548,0.016129032258064516,70.0
1009,039240,0.5201612903225806,0.4475806451612903,0.03225806451612903,70.0
2342,078350,0.5201612903225806,0.4274193548387097,0.05241935483870968,70.0
22,139130,0.5201612903225806,0.4435483870967742,0.036290322580645164,70.0
2283,128660,0.5201612903225806,0.43951612903225806,0.04032258064516129,70.0
19,005830,0.5201612903225806,0.45161290322580644,0.028225806451612902,70.0
70,030200,0.5201612903225806,0.40725806451612906,0.07258064516129033,70.0
18,016610,0.5201612903225806,0.4314516129032258,0.04838709677419355,70.0
796,042700,0.5201612903225806,0.4153225806451613,0.06451612903225806,70.0
131,302440,0.5188679245283019,0.42452830188679247,0.05660377358490566,81.0
1202,104460,0.5161290322580645,0.42338709677419356,0.06048387096774194,95.0
1911,053350,0.5161290322580645,0.45564516129032256,0.028225806451612902,95.0
1921,078020,0.5161290322580645,0.45564516129032256,0.028225806451612902,95.0
1627,019990,0.5161290322580645,0.4475806451612903,0.036290322580645164,95.0
102,005945,0.5161290322580645,0.38306451612903225,0.10080645161290322,95.0
904,005010,0.5161290322580645,0.4475806451612903,0.036290322580645164,95.0
